order,family,sci,com,code,primary,secondary,tree,feral,neil_classification,hallie_classification,notes
Anseriformes,Anatidae,Bucephala islandica,Barrow's Goldeneye,bargol,0,1,1,NA,good,,
Anseriformes,Anatidae,Dendrocygna autumnalis,Black-bellied Whistling-Duck,bbwduc,0,1,1,NA,good,,
Anseriformes,Anatidae,Bucephala albeola,Bufflehead,buffle,0,1,1,NA,good,,
Anseriformes,Anatidae,Bucephala clangula,Common Goldeneye,comgol,0,1,1,NA,good,,
Anseriformes,Anatidae,Mergus merganser,Common Merganser,commer,0,1,1,NA,good,,
Anseriformes,Anatidae,Dendrocygna bicolor,Fulvous Whistling-Duck,fuwduc,0,1,1,NA,good,,
Anseriformes,Anatidae,Lophodytes cucullatus,Hooded Merganser,hoomer,0,1,1,,good,,
Anseriformes,Anatidae,Aix galericulata,Mandarin Duck,manduc,0,1,1,,good,,
Anseriformes,Anatidae,Cairina moschata,Muscovy Duck,musduc,0,1,1,,good,,
Anseriformes,Anatidae,Aix sponsa,Wood Duck,wooduc,0,1,1,,good,,
Falconiformes,Falconidae,Falco sparverius,American Kestrel,amekes,0,1,1,,good,,
Passeriformes,Troglodytidae,Troglodytes aedon/musculus,Northern/Southern House Wren,y01309,0,1,1,,good,,
Passeriformes,Tyrannidae,Myiarchus yucatanensis,Yucatan Flycatcher,yucfly1,0,1,1,,good,,
Passeriformes,Hirundinidae,Tachycineta albilinea,Mangrove Swallow,manswa1,0,1,1,,good,,
Passeriformes,Hirundinidae,Progne subis,Purple Martin,purmar,0,1,1,,good,,
Passeriformes,Hirundinidae,Tachycineta bicolor,Tree Swallow,treswa,0,1,1,,good,,
Passeriformes,Hirundinidae,Tachycineta thalassina,Violet-green Swallow,vigswa,0,1,1,,good,,
Passeriformes,Paridae,Poecile atricapillus,Black-capped Chickadee,bkcchi,0,1,1,,good,,
Passeriformes,Paridae,Baeolophus atricristatus,Black-crested Titmouse,blctit4,0,1,1,,good,,
Passeriformes,Paridae,Poecile hudsonicus,Boreal Chickadee,borchi2,1,1,1,,good,,
Passeriformes,Paridae,Baeolophus wollweberi,Bridled Titmouse,britit,0,1,1,,good,,
Passeriformes,Paridae,Poecile carolinensis,Carolina Chickadee,carchi,1,1,1,,good,,
Passeriformes,Paridae,Poecile rufescens,Chestnut-backed Chickadee,chbchi,1,1,1,,good,,
Passeriformes,Paridae,Baeolophus ridgwayi,Juniper Titmouse,juntit1,0,1,1,,good,,
Passeriformes,Paridae,Poecile sclateri,Mexican Chickadee,mexchi,1,1,1,,good,,
Passeriformes,Paridae,Poecile gambeli,Mountain Chickadee,mouchi,0,1,1,,good,,
Passeriformes,Paridae,Baeolophus inornatus,Oak Titmouse,oaktit,1,1,1,,good,,
Passeriformes,Paridae,Baeolophus bicolor,Tufted Titmouse,tuftit,0,1,1,,good,,
Passeriformes,Parulidae,Leiothlypis luciae,Lucy's Warbler,lucwar,0,1,1,,good,,
Passeriformes,Parulidae,Protonotaria citrea,Prothonotary Warbler,prowar,0,1,1,,good,,
Passeriformes,Passeridae,Passer montanus,Eurasian Tree Sparrow,eutspa,0,1,1,,good,,
Passeriformes,Passeridae,Passer domesticus,House Sparrow,houspa,0,1,1,,good,,
Passeriformes,Sittidae,Sitta pusilla,Brown-headed Nuthatch,bnhnut,1,1,1,,good,,
Passeriformes,Sittidae,Sitta pygmaea,Pygmy Nuthatch,pygnut,1,1,1,,good,,
Passeriformes,Sittidae,Sitta canadensis,Red-breasted Nuthatch,rebnut,1,1,1,,good,,
Passeriformes,Sittidae,Sitta carolinensis,White-breasted Nuthatch,whbnut,0,1,1,,good,,
Passeriformes,Sturnidae,Sturnus vulgaris,European Starling,eursta,1,1,1,,good,,
Passeriformes,Troglodytidae,Thryomanes bewickii,Bewick's Wren,bewwre,0,1,1,,good,,
Passeriformes,Troglodytidae,Thryothorus ludovicianus,Carolina Wren,carwre,0,1,1,,good,,
Passeriformes,Troglodytidae,Troglodytes pacificus,Pacific Wren,pacwre1,0,1,1,,good,,
Passeriformes,Troglodytidae,Troglodytes rufociliatus,Rufous-browed Wren,rubwre2,0,1,1,,good,,
Passeriformes,Troglodytidae,Troglodytes hiemalis,Winter Wren,winwre3,0,1,1,,good,,
Passeriformes,Turdidae,Sialia sialis,Eastern Bluebird,easblu,0,1,1,,good,,
Passeriformes,Turdidae,Sialia currucoides,Mountain Bluebird,moublu,0,1,1,,good,,
Passeriformes,Turdidae,Sialia mexicana,Western Bluebird,wesblu,1,1,1,,good,,
Passeriformes,Tyrannidae,Myiarchus cinerascens,Ash-throated Flycatcher,astfly,0,1,1,,good,,
Passeriformes,Tyrannidae,Myiarchus tyrannulus,Brown-crested Flycatcher,bncfly,0,1,1,,good,,
Passeriformes,Tyrannidae,Myiarchus tuberculifer,Dusky-capped Flycatcher,ducfly,0,1,1,,good,,
Passeriformes,Tyrannidae,Myiarchus crinitus,Great Crested Flycatcher,grcfly,0,1,1,,good,,
Passeriformes,Tyrannidae,Myiarchus sagrae,La Sagra's Flycatcher,lasfly,0,1,1,,good,,
Passeriformes,Tyrannidae,Myiarchus nuttingi,Nutting's Flycatcher,nutfly,0,1,1,,good,,
Piciformes,Picidae,Picoides dorsalis,American Three-toed Woodpecker,attwoo1,1,0,1,,good,,
Piciformes,Picidae,Melanerpes formicivorus,Acorn Woodpecker,acowoo,1,0,1,,good,,
Piciformes,Picidae,Dryobates arizonae,Arizona Woodpecker,ariwoo,1,0,1,,good,,
Piciformes,Picidae,Picoides arcticus,Black-backed Woodpecker,bkbwoo,1,0,1,,good,,
Piciformes,Picidae,Melanerpes pucherani,Black-cheeked Woodpecker,blcwoo1,1,0,1,,good,,
Piciformes,Picidae,Celeus castaneus,Chestnut-colored Woodpecker,chcwoo1,1,0,1,,good,,
Piciformes,Picidae,Dryobates pubescens,Downy Woodpecker,dowwoo,1,0,1,,good,,
Piciformes,Picidae,Colaptes chrysoides,Gilded Flicker,gilfli,1,0,1,,good,,
Piciformes,Picidae,Melanerpes uropygialis,Gila Woodpecker,gilwoo,1,0,1,,good,,
Piciformes,Picidae,Melanerpes chrysogenys,Golden-cheeked Woodpecker,gocwoo1,1,0,1,,good,,
Piciformes,Picidae,Melanerpes aurifrons,Golden-fronted Woodpecker,gofwoo,1,0,1,,good,,
Piciformes,Picidae,Colaptes rubiginosus,Golden-olive Woodpecker,goowoo1,1,0,1,,good,,
Piciformes,Picidae,Melanerpes hypopolius,Gray-breasted Woodpecker,grbwoo1,1,0,1,,good,,
Piciformes,Picidae,Dryobates villosus,Hairy Woodpecker,haiwoo,1,0,1,,good,,
Piciformes,Picidae,Dryobates scalaris,Ladder-backed Woodpecker,labwoo,1,0,1,,good,,
Piciformes,Picidae,Melanerpes lewis,Lewis's Woodpecker,lewwoo,1,1,1,,good,,
Piciformes,Picidae,Dryocopus lineatus,Lineated Woodpecker,linwoo1,1,0,1,,good,,
Piciformes,Picidae,Colaptes auratus,Northern Flicker,norfli,1,1,1,,good,,
Piciformes,Picidae,Colaptes mexicanoides,Guatemalan Flicker,norfli1,1,0,1,,good,,
Piciformes,Picidae,Dryobates nuttallii,Nuttall's Woodpecker,nutwoo,1,0,1,,good,,
Piciformes,Picidae,Campephilus guatemalensis,Pale-billed Woodpecker,pabwoo1,1,0,1,,good,,
Piciformes,Picidae,Dryocopus pileatus,Pileated Woodpecker,pilwoo,1,0,1,,good,,
Piciformes,Picidae,Sphyrapicus ruber,Red-breasted Sapsucker,rebsap,1,0,1,,good,,
Piciformes,Picidae,Melanerpes carolinus,Red-bellied Woodpecker,rebwoo,1,0,1,,good,,
Piciformes,Picidae,Dryobates borealis,Red-cockaded Woodpecker,recwoo,1,0,1,,good,,
Piciformes,Picidae,Melanerpes erythrocephalus,Red-headed Woodpecker,rehwoo,1,1,1,,good,,
Piciformes,Picidae,Sphyrapicus nuchalis,Red-naped Sapsucker,rensap,1,0,1,,good,,
Piciformes,Picidae,Dryobates fumigatus,Smoky-brown Woodpecker,smbwoo1,1,0,1,,good,,
Piciformes,Picidae,Dryobates stricklandi,Strickland's Woodpecker,strwoo,1,0,1,,good,,
Piciformes,Picidae,Dryobates albolarvatus,White-headed Woodpecker,whhwoo,1,0,1,,good,,
Piciformes,Picidae,Sphyrapicus thyroideus,Williamson's Sapsucker,wilsap,1,0,1,,good,,
Piciformes,Picidae,Sphyrapicus varius,Yellow-bellied Sapsucker,yebsap-example,1,0,1,,good,,
Piciformes,Picidae,Melanerpes pygmaeus,Yucatan Woodpecker,yucwoo,1,0,1,,good,,
Strigiformes,Tytonidae,Tyto furcata,American Barn Owl,brnowl,0,1,1,,good,,
Strigiformes,Strigidae,Megascops seductus,Balsas Screech-Owl,basowl,0,1,1,,good,,
Strigiformes,Strigidae,Megascops barbarus,Bearded Screech-Owl,besowl,0,1,1,,good,,
Strigiformes,Strigidae,Aegolius funereus,Boreal Owl,borowl,0,1,1,,good,,
Strigiformes,Strigidae,Strix varia,Barred Owl,brdowl,0,1,1,,good,,
Strigiformes,Strigidae,Glaucidium griseiceps,Central American Pygmy-Owl,capowl1,0,1,1,,good,,
Strigiformes,Strigidae,Glaucidium palmarum,Colima Pygmy-Owl,copowl1,0,1,1,,good,,
Strigiformes,Strigidae,Lophostrix cristata,Crested Owl,creowl1,0,1,1,,good,,
Strigiformes,Strigidae,Megascops asio,Eastern Screech-Owl,easowl1,0,1,1,,good,,
Strigiformes,Strigidae,Micrathene whitneyi,Elf Owl,elfowl,0,1,1,,good,,
Strigiformes,Strigidae,Glaucidium brasilianum,Ferruginous Pygmy-Owl,fepowl,0,1,1,,good,,
Strigiformes,Strigidae,Psiloscops flammeolus,Flammulated Owl,flaowl,0,1,1,,good,,
Strigiformes,Strigidae,Strix fulvescens,Fulvous Owl,fulowl1,0,1,1,,good,,
Strigiformes,Strigidae,Surnia ulula,Northern Hawk Owl,nohowl,0,1,1,,good,,
Strigiformes,Strigidae,Glaucidium gnoma,Northern Pygmy-Owl,nopowl,0,1,1,,good,,
Strigiformes,Strigidae,Aegolius acadicus,Northern Saw-whet Owl,nswowl,0,1,1,,good,,
Strigiformes,Strigidae,Megascops cooperi,Pacific Screech-Owl,pasowl4,0,1,1,,good,,
Strigiformes,Strigidae,Pulsatrix perspicillata,Spectacled Owl,speowl1,0,1,1,,good,,
Strigiformes,Strigidae,Strix occidentalis,Spotted Owl,spoowl,0,1,1,,good,,
Strigiformes,Strigidae,Asio clamator,Striped Owl,strowl1,0,1,1,,good,,
Strigiformes,Strigidae,Asio stygius,Stygian Owl,styowl1,0,1,1,,good,,
Strigiformes,Strigidae,Aegolius ridgwayi,Unspotted Saw-whet Owl,uswowl1,0,1,1,,good,,
Strigiformes,Strigidae,Megascops guatemalae,Middle American Screech-Owl,vesowl,0,1,1,,good,,
Strigiformes,Strigidae,Megascops kennicottii,Western Screech-Owl,wesowl1,0,1,1,,good,,
Strigiformes,Strigidae,Megascops trichopsis,Whiskered Screech-Owl,whsowl1,0,1,1,,good,,
Trogoniformes,Trogonidae,Trogon collaris,Collared Trogon,coltro1,1,1,1,,good,,
Trogoniformes,Trogonidae,Euptilotis neoxenus,Eared Quetzal,earque,0,1,1,,good,,
Trogoniformes,Trogonidae,Trogon elegans,Elegant Trogon,eletro,0,1,1,,good,,
Trogoniformes,Trogonidae,Trogon mexicanus,Mountain Trogon,moutro1,0,1,1,,good,,
Trogoniformes,Trogonidae,Pharomachrus mocinno,Resplendent Quetzal,resque1,1,1,1,,good,,
Trogoniformes,Trogonidae,Trogon massena,Slaty-tailed Trogon,slttro1,1,0,1,,good,,
Anseriformes,Anatidae,Histrionicus histrionicus,Harlequin Duck,harduc,0,1,1,,idk,omit,
Caprimulgiformes,Nyctibiidae,Nyctibius grandis,Great Potoo,grepot1,0,1,1,,idk,omit,"The nest itself generally consists of ""nothing more than a crevice in a high branch of a large tree"""
Caprimulgiformes,Nyctibiidae,Nyctibius jamaicensis,Northern Potoo,norpot1,0,1,1,,idk,omit,No nest is constructed; the egg is placed in a depression on a branch or stub
Coraciiformes,Alcedinidae,Chloroceryle aenea,American Pygmy Kingfisher,ampkin1,1,0,1,,idk,omit,"Nest in a riverbank, earth heap, gravel pit, cutting, arboreal termitarium or earth pulled up by an uprooted tree"
Falconiformes,Falconidae,Micrastur ruficollis,Barred Forest-Falcon,baffal1,0,1,1,,idk,good,
Falconiformes,Falconidae,Falco rufigularis,Bat Falcon,batfal1,0,1,1,,idk,good,"Nests in natural tree cavities or holes excavated by parrots, in old trogon nests in termite colonies, or on cliffs, usually 10â€“50 m above ground (1); also on pre-Columbian ruins, and modern man-made structures, e.g. on sugar mill crane, in Guyana"
Falconiformes,Falconidae,Micrastur semitorquatus,Collared Forest-Falcon,coffal1,0,1,1,,idk,good,
Falconiformes,Falconidae,Herpetotheres cachinnans,Laughing Falcon,laufal1,0,1,1,,idk,good,"The nest usually is a cavity in a tree, but less frequently, may be a crotch of a tree (Robbins and Wiedenfeld 1982), in epiphytes (Wolfe 1954), or in the stick nest of other raptors (Marchant 1960)"
Passeriformes,Thraupidae,Lanio aurantius,Black-throated Shrike-Tanager,btstan1,NA,NA,NA,,idk,omit,No information.
Passeriformes,Thraupidae,Thraupis episcopus,Blue-gray Tanager,bugtan,0,0,NA,,idk,omit,Not a cavity nester
Passeriformes,Furnariidae,Automolus cervinigularis,Fawn-throated Foliage-gleaner,butfog9,NA,NA,NA,,idk,omit,"No information. Not formally described. Presumably, the nest of Fawn-throated Foliage-gleaner is similar, in being a shallow cup of twig-like materials placed at the end of an earthen tunnel, to closely related members of the genus"
Passeriformes,Vireonidae,Vireo hypochryseus,Golden Vireo,golvir1,NA,NA,NA,,idk,omit,"limited information, but is a cup nester not a cavity nester"
Passeriformes,Tityridae,Pachyramphus major,Gray-collared Becard,grcbec1,NA,NA,NA,,idk,omit,not a cavity nester
Passeriformes,Fringillidae,Coccothraustes abeillei,Hooded Grosbeak,hoogro1,NA,NA,NA,,idk,omit,not a cavity nester
Passeriformes,Troglodytidae,Hylorchilus navai,Nava's Wren,navwre1,NA,NA,NA,,idk,omit,"undescribed; but very similar to Sumichrast's Wren, which nests in ground crevices/caves (not trees)"
Passeriformes,Cardinalidae,Piranga roseogularis,Rose-throated Tanager,rottan1,NA,NA,NA,,idk,omit,no information
Passeriformes,Cardinalidae,Driophlox fuscicauda,Red-throated Ant-Tanager,rtatan1,NA,NA,NA,,idk,omit,not a cavity nester
Passeriformes,Tityridae,Laniocera rufescens,Speckled Mourner,spemou1,NA,NA,NA,,idk,omit,no information; but sister species (cinereous mourner) is listed as having cup nest
Passeriformes,Furnariidae,Lepidocolaptes leucogaster,White-striped Woodcreeper,whswoo1,NA,NA,NA,,idk,good,limited information.  sister species nest in cavities
Passeriformes,Estrildidae,Padda oryzivora,Java Sparrow,javspa,0,1,1,,idk,omit,woven dome/bell-shaped nests
Passeriformes,Formicariidae,Formicarius moniliger,Mayan Antthrush,bkfant2,0,1,1,,idk,good,"no information, but sister species (black-faced antthrush) is described as using cavities (albeit ones that are open to the sky)"
Passeriformes,Furnariidae,Xiphorhynchus flavigaster,Ivory-billed Woodcreeper,ivbwoo1,0,1,1,,idk,good,"limited information, they nest in both tree cavities and holes between roots and trunk, not sure if that counts?"
Passeriformes,Furnariidae,Dendrocolaptes sanctithomae,Northern Barred-Woodcreeper,nobwoo1,0,1,1,,idk,good,
Passeriformes,Furnariidae,Sittasomus griseicapillus,Olivaceous Woodcreeper,oliwoo1,0,1,1,,idk,good,
